ALDMDS_Axe1,ALDMDS_Axe2,ALD30_Axe1,ALD30_Axe2
-1.76984511267316,1.27735479081128,-2.27394264290182,-1.16381971759933
-1.83334985491686,1.2475778565813,-2.52320328493178,-1.17314768454204
-1.78717434052286,1.2692292357786,-4.41940001607938,-1.35108737423986
-1.69058297706301,1.31452025776072,-1.97203527455729,-1.15299544837774
-1.75124217950225,1.28607757745592,-2.35418174547105,-1.17471454348902
-1.75124217950225,1.28607757745592,-1.61609360913355,-1.10908503804433
-1.73833466944919,1.29212981960892,-2.14690868332781,-1.15889310728063
-1.75124217950225,1.28607757745592,-2.82537272250569,-1.21661202059282
-1.75124217950225,1.28607757745592,-2.44536868557452,-1.18282272662783
-1.68921258748914,1.31516282394978,-2.27131702049634,-1.17988404655728
-1.83010836784538,1.24909776744031,-2.60451302668959,-1.18103278787441
-1.73134361902733,1.29540787477858,-4.60678748871192,-1.37903428726609
-1.75124217950225,1.28607757745592,-1.80144860084387,-1.12556647953994
-1.7533597899123,1.28508464458702,-2.76037018524754,-1.21040408815861
-1.70741497264807,1.30662785149644,-2.70924053476587,-1.21514429427987
-1.853761087686,1.23800717076721,-3.33180277515131,-1.24092132953933
-1.65621399083269,1.33063563759493,-2.08256457785747,-1.16977032873817
-1.83620991224726,1.24623679548866,-2.22917568233769,-1.14642517750466
-1.75124217950225,1.28607757745592,-2.1211289697066,-1.15399189850542
-1.75886983224409,1.28250102386326,-2.08461369307255,-1.14920328984803
-1.83536912573514,1.24663103446654,-2.61084670071036,-1.18053263994829
-1.74868259866517,1.28727774719993,-2.79754655354861,-1.21465511989275
-1.81525378275568,1.2560629796056,-2.39401213595523,-1.16531789002339
-1.75124217950225,1.28607757745592,-2.50656915114396,-1.18826456492676
-1.75124217950225,1.28607757745592,-2.17531505526809,-1.15881003040905
-1.76612889422419,1.27909729992838,-2.34586409438743,-1.17096598534913
-1.836808794776,1.24595598361477,-3.46391716476998,-1.25609518062464
-1.5560564005607,1.37759883865348,-1.5937793749765,-1.14655268916613
-1.75124217950225,1.28607757745592,-1.9350725399955,-1.13744808637027
-1.75124217950225,1.28607757745592,-2.36294972048101,-1.17549417648314
-1.63543095365816,1.34038065992209,-1.99662382248822,-1.16632938452083
-1.5204780539247,1.394281279214,-4.44053696824233,-1.40687264188477
-1.86366375369516,1.23336387919499,-2.59826149343819,-1.17369455277041
-1.87192897268108,1.22948837520198,-2.59250562830518,-1.1715121495088
-1.66211130068462,1.3278704298106,-2.08440945317414,-1.16874238205105
-1.74030589933195,1.29120552355642,-2.07247489316137,-1.15187615140754
-1.75124217950225,1.28607757745592,-2.08079628466085,-1.15040558673248
-1.81199296764393,1.25759195324896,-2.08284920050098,-1.13830891638394
-1.85925799471477,1.23542970909614,-2.58290905994936,-1.17321995231003
-1.75124217950225,1.28607757745592,-2.11428994919885,-1.15338378477001
-1.75124217950225,1.28607757745592,-1.89719488795251,-1.13408007183569
-1.62312973446839,1.3461486164844,-2.03296729132922,-1.17204735779248
-1.75124217950225,1.28607757745592,-2.44203685507073,-1.18252646609006
-1.77140554176245,1.27662311640838,-2.31661468290204,-1.16729864004497
-1.50292399288278,1.40251225697482,-2.52967523439628,-1.24051026321341
-1.80556734111406,1.260604885068,-2.12277078459212,-1.14315744920299
-1.75124217950225,1.28607757745592,-2.69297629985546,-1.20483956238166
-1.75124217950225,1.28607757745592,-2.21687525681524,-1.16250549080116
-1.73341564185645,1.29443631761095,-1.94870129372813,-1.14226310818683
